ep 100: mean -2.1199064859526286, std 0.12387635524711942
ep 200: mean -0.3768901876155373, std 0.2039796313737673
ep 300: mean -0.7646338146111631, std 0.16126471540303272
ep 400: mean -0.6042093991086565, std 0.13741184281237745
ep 500: mean -0.8293954951490619, std 0.18617442884891744
ep 600: mean -0.14800220247971368, std 0.1876124745538093
ep 700: mean -0.49149603728752056, std 0.07218596765161411
ep 800: mean -0.3994940790588684, std 0.3899247054074294
ep 900: mean -0.10303828555141753, std 0.11175693619766819
ep 1000: mean -0.1000409864883234, std 0.03778032947465752
ep 1100: mean -0.49005793947181275, std 0.381471589203583
ep 1200: mean -1.0086580862671763, std 0.4908884607823056
ep 1300: mean -0.7240103800516156, std 0.5362420705472011
ep 1400: mean -0.727122879309526, std 0.1274032557400735
ep 1500: mean -0.1842660369645759, std 0.09696492974728345
ep 1600: mean -0.08543991705819672, std 0.04006357147039632
ep 1700: mean -2.090614875656538, std 1.138523517072125
ep 1800: mean -0.20825855417142275, std 0.15765065696782588
ep 1900: mean -0.9678857138599986, std 0.4541447878774087
ep 2000: mean -0.09683663817093985, std 0.11502465957699004
ep 2100: mean -0.32343153294112037, std 0.39565919279027223
ep 2200: mean -0.6758563889205726, std 0.66200450550128
ep 2300: mean -0.3964049009860973, std 0.2144081203298868
ep 2400: mean -0.656048264986724, std 0.5887628821598081
ep 2500: mean -0.36317937431805025, std 0.4192776180288338
ep 2600: mean -0.3184928034022171, std 0.3983355089693691
ep 2700: mean -0.7492632123421188, std 0.10591250751427421
ep 2800: mean -0.12180300440552759, std 0.02515858882779159
ep 2900: mean -0.25233204786575647, std 0.15780091415513803
ep 3000: mean -0.20878698166737672, std 0.08230316485935754
ep 3100: mean -0.9361759213519081, std 0.7312558946821691
ep 3200: mean -0.03762793703902014, std 0.0699088930635429
ep 3300: mean -0.06325300967149658, std 0.031174481521465385
ep 3400: mean -0.1416946438821417, std 0.19455760374613806
ep 3500: mean -0.8950489343890368, std 0.7604918727112564
ep 3600: mean -0.5362246320258328, std 0.5845579341814311
ep 3700: mean -0.08316814681801173, std 0.15023507120218269
ep 3800: mean -0.07399389493410279, std 0.11000117040075458
ep 3900: mean -0.6440278923932036, std 0.570822515399995
ep 4000: mean -0.05416126498714556, std 0.03154075245743402
ep 4100: mean -0.04029903677107535, std 0.022279930911980248
ep 4200: mean -1.6552912827961512, std 0.9940498663660423
ep 4300: mean -0.6418914064842997, std 0.45391609704021274
ep 4400: mean -1.057380263619268, std 0.7449770265704521
ep 4500: mean -0.34879098600462966, std 0.3844953523684239
ep 4600: mean -0.4389143849952967, std 0.42425896484928877
ep 4700: mean -0.4345269619516989, std 0.44267338219425395
ep 4800: mean -0.025800101137667984, std 0.026142355700545444
ep 4900: mean -0.25197025857641236, std 0.36058274768011034
ep 5000: mean -0.5297778892203242, std 0.4715207047437213
ep 5100: mean -0.034954025056634586, std 0.046433332925250724
ep 5200: mean -0.11148179568810863, std 0.08374968791579596
ep 5300: mean -0.34203049730045193, std 0.3792309092012599
ep 5400: mean -0.7347388984909128, std 0.6714824676498263
ep 5500: mean -0.4028318889224731, std 0.5073604293198957
ep 5600: mean -0.12845010859169612, std 0.1832886598630176
ep 5700: mean -1.4760992338903591, std 0.9515322731447948
ep 5800: mean -0.40023822261073194, std 0.4774880732135776
ep 5900: mean -0.6388704398729247, std 0.7036752372752677
ep 6000: mean -0.7178745556053263, std 0.4659150916895417
ep 6100: mean -0.2317571650428417, std 0.29832100288947805
ep 6200: mean -1.2988410895013807, std 0.8518681884023644
ep 6300: mean -0.6991959124460198, std 0.5958368645911873
ep 6400: mean -0.18680788501205106, std 0.2787379489387658
