ep 100: mean -2.143590003984297, std 0.1599067995621424
ep 200: mean -0.36838597072556384, std 0.20433164914792895
ep 300: mean -0.7568778269109961, std 0.11920294345220322
ep 400: mean -0.634711397322208, std 0.1625391532607984
ep 500: mean -0.9071291839616282, std 0.20811443386233963
ep 600: mean -0.15146882672972595, std 0.18588215563874952
ep 700: mean -0.39534120379290477, std 0.03504689982818128
ep 800: mean -0.5662730392495472, std 0.3043756997488025
ep 900: mean -0.11573526827964821, std 0.11052668444690211
ep 1000: mean -0.1779882288577204, std 0.06489518890391653
ep 1100: mean -0.5639805150479179, std 0.334828909676586
ep 1200: mean -1.465953036294551, std 0.5229547815014315
ep 1300: mean -0.7372288963822797, std 0.5460313514916785
ep 1400: mean -0.7597319951909914, std 0.1068176890097451
ep 1500: mean -0.30088672059729943, std 0.16152998611119304
ep 1600: mean -0.09644179001615713, std 0.024279767942371546
ep 1700: mean -2.126626768231386, std 1.113519325946354
ep 1800: mean -0.21556501407747686, std 0.15526150667068125
ep 1900: mean -1.1928805697278901, std 0.3238785242404782
ep 2000: mean -0.18819467171083276, std 0.08605026001098588
ep 2100: mean -0.30289328714660535, std 0.4098268491344289
ep 2200: mean -0.6577014897246393, std 0.6764446669620272
ep 2300: mean -0.605816342094369, std 0.1281909445604418
ep 2400: mean -0.683587041560383, std 0.5687419467617917
ep 2500: mean -0.44633199519956546, std 0.43558149528075074
ep 2600: mean -0.735745622966692, std 0.18432473012783146
ep 2700: mean -0.7010537813708569, std 0.0776607467249563
ep 2800: mean -0.20512984012417854, std 0.0648064405129492
ep 2900: mean -0.4782947071905024, std 0.07451520741682963
ep 3000: mean -0.13841948167824025, std 0.07258374595886204
ep 3100: mean -0.9026571722750402, std 0.7618216173272209
ep 3200: mean -0.10273813426759716, std 0.045101553961711616
ep 3300: mean -0.10135320305846446, std 0.0519315607565596
ep 3400: mean -0.14434607128883623, std 0.19384728794582864
ep 3500: mean -0.9792757072926028, std 0.6835789150706467
ep 3600: mean -0.5307896355388111, std 0.5865876919189923
ep 3700: mean -0.08316814681801173, std 0.15023507120218269
ep 3800: mean -0.08233895067072501, std 0.10544960836704324
ep 3900: mean -0.8257644651486267, std 0.41908651371049743
ep 4000: mean -0.07354429631884234, std 0.026327628516554222
ep 4100: mean -0.2744930282976285, std 0.08356391689411867
ep 4200: mean -1.665855893211093, std 1.0040298572861577
ep 4300: mean -0.8688533923374149, std 0.39904973763658014
ep 4400: mean -1.1973231479560722, std 0.7196892906824659
ep 4500: mean -0.4903819213978898, std 0.27675103757174035
ep 4600: mean -0.4740814507086389, std 0.40175803737771254
ep 4700: mean -0.43659779952439415, std 0.42465474570843376
ep 4800: mean -0.2430448060283309, std 0.04627622923592026
ep 4900: mean -0.25040855692495234, std 0.36158216155629364
ep 5000: mean -0.5215458420862678, std 0.47347450829978077
ep 5100: mean -0.10134491086267755, std 0.06084742634957526
ep 5200: mean -0.13837169817939904, std 0.09685758116570606
ep 5300: mean -0.4528590080647204, std 0.29723308884679983
ep 5400: mean -0.7109904217545968, std 0.678931844901814
ep 5500: mean -0.40504027679272725, std 0.5057242949443199
ep 5600: mean -0.12373325545278259, std 0.18550983375531443
ep 5700: mean -1.4630108625087141, std 0.9362178675572262
ep 5800: mean -0.7637904090332053, std 0.2686230987091752
ep 5900: mean -0.7021975743860196, std 0.6531906694624225
ep 6000: mean -0.6536316343506137, std 0.5879632068874457
ep 6100: mean -0.23183539279082532, std 0.29821205533396516
ep 6200: mean -1.448765745444087, std 0.70283228868009
ep 6300: mean -0.7800722491973398, std 0.5275112790924713
ep 6400: mean -0.5753643885584417, std 0.13349101858817708
ep 6500: mean -0.7387378687663384, std 0.7779482777095944
ep 6600: mean -0.476633414139126, std 0.4308633101829544
ep 6700: mean -0.23414213264917969, std 0.09389882227657752
ep 6800: mean -0.4327178445029587, std 0.330543382768492
ep 6900: mean -0.3647633300042973, std 0.25971425828856604
ep 7000: mean -0.23774321928223777, std 0.05741094563286889
ep 7100: mean -0.6483566776811712, std 0.22897274445456697
ep 7200: mean -0.2760514460843468, std 0.25746528828014753
ep 7300: mean -0.8935698259951511, std 0.18825351484743097
ep 7400: mean -0.1852961626679312, std 0.07939081564922258
ep 7500: mean -0.5304118439728407, std 0.2783079266270515
ep 7600: mean -1.386939322068406, std 0.9366943272139282
ep 7700: mean -1.078504420314634, std 0.7375316461719442
ep 7800: mean -0.48047048065526, std 0.1385754439237105
ep 7900: mean -1.0635811261361399, std 0.1006986215930056
ep 8000: mean -0.3151428799131407, std 0.35806917878012484
ep 8100: mean -0.414604613742453, std 0.19486982042386936
ep 8200: mean -0.3516267281807275, std 0.12330900066523826
ep 8300: mean -1.2161146932206568, std 0.9851107613106529
ep 8400: mean -0.3536675364399763, std 0.13148203837867764
ep 8500: mean -0.41469946645784617, std 0.11468304107027477
ep 8600: mean -1.1326082926115737, std 0.8566021905757478
ep 8700: mean -0.22044328971486707, std 0.03965002480100221
ep 8800: mean -0.3259753040395383, std 0.19655510225150152
ep 8900: mean -0.17880128655008143, std 0.16441102715245975
ep 9000: mean -0.7105434918313253, std 0.5205194376454497
ep 9100: mean -0.5492476877912182, std 0.10343932532888292
ep 9200: mean -0.2024813996395823, std 0.09729678433578702
ep 9300: mean -1.143083136416416, std 0.606452370033653
ep 9400: mean -0.7325687726263819, std 0.44890445440860616
ep 9500: mean -0.264628865776062, std 0.3681499290867734
ep 9600: mean -0.110018538429081, std 0.14883246030774697
ep 9700: mean -0.3983693868333988, std 0.4365367538256943
ep 9800: mean -1.3350742325544247, std 0.8700771602982889
ep 9900: mean -0.5559958497622656, std 0.10078961912739154
ep 10000: mean -0.5450010868636179, std 0.1257282695856779
ep 10100: mean -0.4862146801352609, std 0.07671317538820198
ep 10200: mean -0.26287026425273047, std 0.28553259609515697
ep 10300: mean -1.0743057252017898, std 0.6774827848913302
ep 10400: mean -0.026786243022009524, std 0.017812332746641377
ep 10500: mean -0.040410575261877045, std 0.01871313077371276
ep 10600: mean -0.2548292434132356, std 0.09602320639735283
ep 10700: mean -1.6283014554504456, std 1.0116661079419738
ep 10800: mean -1.2059881287685994, std 0.30177339419946714
ep 10900: mean -0.13665619019598432, std 0.04858150809813857
ep 11000: mean -0.12481381187705459, std 0.10309066869769604
ep 11100: mean -0.44300486292940805, std 0.39195590693236765
ep 11200: mean -1.196702291791587, std 0.6043669038021371
ep 11300: mean -0.4572349348065328, std 0.5390409224605547
ep 11400: mean -1.0548769110883027, std 0.11541991581773363
ep 11500: mean -1.188953006499061, std 0.07161481844334769
ep 11600: mean -1.175934368816757, std 0.8885291293315023
ep 11700: mean -1.4524674388934171, std 0.5966453904498009
ep 11800: mean -0.19106372650299933, std 0.16855839219566635
ep 11900: mean -0.4781417201725071, std 0.1592993949168074
ep 12000: mean -0.7177064936564489, std 0.36343205725513283
ep 12100: mean -0.4632626562894242, std 0.5437199874706286
ep 12200: mean -1.2331711803937895, std 0.2801683230025976
ep 12300: mean -0.49913543627669116, std 0.3250834716646507
ep 12400: mean -0.07672517829433495, std 0.05927910213953418
ep 12500: mean -0.9686809227413073, std 0.15914008071788877
ep 12600: mean -1.1245743877342298, std 0.19495286520113073
ep 12700: mean -1.1556657641804156, std 0.5821063044164969
ep 12800: mean -0.08754355338673664, std 0.09906359824333118
ep 12900: mean -1.0751495851414636, std 0.6855035941856243
ep 13000: mean -0.2964189607946336, std 0.027744379632432974
ep 13100: mean -1.2918138119143767, std 0.8803631867530505
ep 13200: mean -0.4143081027852322, std 0.5290296069942313
ep 13300: mean -1.1657293463279572, std 1.0325061309346435
ep 13400: mean -0.928314328312494, std 0.7271134017948518
ep 13500: mean -0.6085160186574593, std 0.21640311035883847
ep 13600: mean -0.3874749273206939, std 0.41509655167185483
ep 13700: mean -1.534684750542068, std 0.7767472958077755
ep 13800: mean -0.1242750590402529, std 0.05678466483231642
ep 13900: mean -0.6698655543699532, std 0.10542429779251049
ep 14000: mean -0.2181195956694593, std 0.10418655748087753
ep 14100: mean -0.4899380322215219, std 0.2928220062615818
ep 14200: mean -0.49684307974355085, std 0.16810095420479332
ep 14300: mean -0.548209616882166, std 0.1904904816105252
ep 14400: mean -0.0595529406380817, std 0.013921186271768606
ep 14500: mean -0.2998062654462892, std 0.28186381542453504
ep 14600: mean -0.3049232865271258, std 0.1371232169921424
ep 14700: mean -0.6195355165222148, std 0.6853286239314189
ep 14800: mean -0.5025294862243268, std 0.44580823874117975
ep 14900: mean -0.6547303663759121, std 0.42544789676737926
ep 15000: mean -0.10893793734923765, std 0.052017959703735836
ep 15100: mean -0.17398497882715147, std 0.1437787542932118
ep 15200: mean -0.15706334039460967, std 0.01238105243390624
ep 15300: mean -0.32874075702832817, std 0.03048278924426544
ep 15400: mean -0.3948624120976577, std 0.03554346304908982
ep 15500: mean -0.3557945322842198, std 0.33504175629656396
ep 15600: mean -0.6779592821172096, std 0.0721934658169855
ep 15700: mean -0.43883820509132904, std 0.14531940156373713
ep 15800: mean -0.42809442666356873, std 0.1425006898824845
ep 15900: mean -1.5180986041869517, std 0.9795096362721685
ep 16000: mean -0.2398105852543602, std 0.18516408493429976
ep 16100: mean -0.3671447814967133, std 0.12794539338206573
ep 16200: mean -0.2523409059875192, std 0.2551534566181233
ep 16300: mean -0.4080501528105083, std 0.4666710589609868
ep 16400: mean -0.29680010400067225, std 0.21857393265647315
ep 16500: mean -0.6316701444351756, std 0.16709053201330798
ep 16600: mean -0.17654818941705508, std 0.23297493068927597
ep 16700: mean -1.156543754675391, std 0.26580683908453534
ep 16800: mean -0.24516160908826884, std 0.16713871868201652
ep 16900: mean -0.21642183027530418, std 0.15149221498214024
ep 17000: mean -0.161606238005766, std 0.25415586785584626
ep 17100: mean -0.4411032395921377, std 0.10537297578993883
ep 17200: mean -0.23765688200229015, std 0.31005326038148473
ep 17300: mean -0.4422896833003769, std 0.17593056899978415
ep 17400: mean -1.7443502955686268, std 1.0439252530058993
ep 17500: mean -0.24228750660393422, std 0.2570131600551373
ep 17600: mean -0.04648263813066933, std 0.09274160257404657
ep 17700: mean -0.3156751200303094, std 0.23377639007260761
ep 17800: mean -0.04248341316247657, std 0.05830621351408727
ep 17900: mean -0.2905523150309825, std 0.3219284690295211
ep 18000: mean -0.01232644097229022, std 0.019351112869889022
ep 18100: mean -0.2892420333734859, std 0.27340895969196766
ep 18200: mean -0.12651306615114322, std 0.050643892311250195
ep 18300: mean -2.268897415458996, std 1.1819084998037737
ep 18400: mean -0.08656830820170824, std 0.03406688759060469
ep 18500: mean -1.065591028254665, std 0.732578698570711
ep 18600: mean -0.7170134623865357, std 0.6914260950447976
ep 18700: mean -0.15689292857080883, std 0.15176441853777256
ep 18800: mean -0.23312768575739962, std 0.2690096037951305
ep 18900: mean -0.11556170679000256, std 0.157122721053487
ep 19000: mean -0.9474917293562533, std 0.7763740095259989
