Wall time,Step,Value
1550942267.4210796,18,-0.39736711978912354
1550942269.8189983,42,-0.8588071465492249
1550942272.338455,45,-5.973308086395264
1550942282.4685059,71,-2.459320068359375
1550942290.4865828,94,-7.1542582511901855
1550942313.3695276,158,-3.9776363372802734
1550942316.887744,167,-1.3491066694259644
1550942336.7666402,229,-1.9206537008285522
1550942338.5453875,234,-1.565422773361206
1550942346.8367379,255,-0.8654937148094177
1550942351.5550618,273,-4.922522068023682
1550942362.8907206,308,-3.5901732444763184
1550942363.089049,310,-5.474536895751953
1550942365.7429645,318,-6.126651287078857
1550942401.436697,421,0.0
1550942438.3452885,460,-1.4064711332321167
1550942446.1660511,474,-1.3754793405532837
1550942494.04557,536,-2.436872720718384
1550942510.8670397,563,-0.8815832734107971
1550942558.469772,579,-1.394848346710205
1550942576.728042,586,-2.0337939262390137
1550942590.369664,587,-6.3503642082214355
1550942708.9072194,634,-1.9594913721084595
1550942715.7387908,647,-1.480500340461731
1550942775.6098351,661,-3.1553151607513428
1550942812.5522754,671,-1.6936907768249512
1550942882.0542846,714,-1.9583358764648438
1550942885.2868257,722,-2.4792466163635254
1550942910.718023,765,-4.64354944229126
1550942919.4926622,771,-2.0941338539123535
1550942931.9015129,785,-3.345219850540161
1550942933.7030945,787,-2.9403676986694336
1550942946.613187,802,-2.667384386062622
1550942948.8300416,808,-1.6429402828216553
1550942968.3290222,836,-1.6506085395812988
1550943049.0019307,945,-2.6540043354034424
1550943081.2119179,971,-3.0476315021514893
1550943081.5007777,972,-1.3773283958435059
1550943086.0573344,978,-1.7065093517303467
1550943112.9588563,1005,-1.52335524559021
1550943125.659811,1014,-2.8070669174194336
1550943182.3932645,1063,-2.9967575073242188
1550943185.0204637,1066,-2.6803104877471924
1550943220.6228507,1093,-4.977150917053223
1550943236.4272423,1104,-1.8340693712234497
1550943276.3651836,1161,-2.609100103378296
1550943285.8601906,1180,-3.2253801822662354
1550943349.3015745,1261,-3.9121787548065186
1550943392.754023,1316,-2.9236438274383545
1550943395.1910608,1319,-3.3602731227874756
1550943404.4925525,1333,-4.494687080383301
1550943406.9538445,1337,-2.132199287414551
1550943437.7039125,1385,-1.995694637298584
1550943443.6915128,1392,-2.7925262451171875
1550943461.176558,1414,-4.129334926605225
1550943471.2993808,1426,-2.846118927001953
1550943482.132797,1436,-1.86863374710083
1550943509.3790016,1466,-2.912752389907837
1550943520.1493707,1477,-2.5060884952545166
1550943534.5146892,1491,-1.605497121810913
1550943559.3567343,1523,-2.807644844055176
1550943574.1273098,1552,-1.1986770629882812
1550943582.867837,1568,-2.9483730792999268
1550943591.274151,1584,-1.3040827512741089
1550943592.999986,1588,-3.359663724899292
1550943602.3092773,1605,-2.5522804260253906
1550943631.9456933,1640,-2.3046770095825195
1550943665.7819047,1691,-2.2367336750030518
1550943678.3129885,1709,-1.8858129978179932
1550943683.0601797,1718,-2.291384696960449
1550943690.1998422,1732,-2.3515284061431885
1550943690.4039109,1734,-1.196306824684143
1550943691.5072284,1737,-1.8717647790908813
1550943724.1367521,1781,-2.939563274383545
1550943750.4247599,1826,-1.2661536931991577
1550943758.7081695,1844,-2.002333164215088
1550943763.2974524,1853,-1.979079008102417
